web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659740075-2915","https://www.zillow.com/avon-nc/for-sale/","41713 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41713-Ocean-View-Dr-Avon-NC-27915/86668895_zpid/","Built in 1986","3,049 sqft","Property detailsParkingParking features: Detached, Off Street, PavedHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: Private, BathExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered DecksView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 3,049 sqftOther property informationParcel number: 029593028Zoning description: RES","6","4","3,185","41713 Ocean View Dr, Avon, NC 27915","$1,295,000","$1,295,000","",""
"1659739994-2891","https://www.zillow.com/avon-nc/for-sale/","42150 Askins Creek Dr LOT 54, Avon, NC 27915","https://www.zillow.com/homedetails/42150-Askins-Creek-Dr-LOT-54-Avon-NC-27915/2068391017_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek","1","null","null","42150 Askins Creek Dr LOT 54, Avon, NC 27915","$400,000","$400,000","",""
"1659739903-2870","https://www.zillow.com/avon-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739802-2843","https://www.zillow.com/frisco-nc/for-sale/","50150 Treasure Ct, Frisco, NC 27936","https://www.zillow.com/homedetails/50150-Treasure-Ct-Frisco-NC-27936/2064419704_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $718","0","null","null","50150 Treasure Ct, Frisco, NC 27936","$275,000","$275,000","",""
"1659739963-2881","https://www.zillow.com/avon-nc/for-sale/","40193 W Antillas Rd LOT 23, Avon, NC 27915","https://www.zillow.com/homedetails/40193-W-Antillas-Rd-LOT-23-Avon-NC-27915/2097983821_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $367","1","null","null","40193 W Antillas Rd LOT 23, Avon, NC 27915","$99,500","$99,500","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659740518-2950","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2942","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739676-2812","https://www.zillow.com/rodanthe-nc/for-sale/","23252 Sudie Payne Road, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23252-Sudie-Payne-Rodanthe-NC-27968/2102517439_zpid/","Built in 2006","10,018 sqft","Property detailsParkingParking features: PavedPropertyLevels: TwoStories: 2Exterior features: NonePatio and porch details: DeckFencing: PartialView description: OceanHas waterview: YesWaterview: OceanLiving area range: 2400 - 2599 Square FeetLotLot size: 10,018 sqftLot size dimensions: 0x0Lot features: Second Row, City LotOther property informationParcel number: 065805182576Zoning description: ResSpecial conditions: StandardOther equipment: No Fuel Tank","5","5","2,400","23252 Sudie Payne Road, Rodanthe, NC 27968","$1,999,997","$1,999,997","",""
"1659740557-2978","https://www.zillow.com/hatteras-nc/for-sale/","0 C Deering Ridge Rd LOT 2R, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-C-Deering-Ridge-Rd-LOT-2R-Hatteras-NC-27943/2063462333_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $177,000","0","null","null","0 C Deering Ridge Rd LOT 2R, Hatteras, NC 27943","$169,900","$169,900","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740630-3001","https://www.zillow.com/hatteras-nc/for-sale/","58160 Hatteras Lndg LOT 16, Hatteras, NC 27943","https://www.zillow.com/homedetails/58160-Hatteras-Lndg-LOT-16-Hatteras-NC-27943/2069939843_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58160 Hatteras Lndg LOT 16, Hatteras, NC 27943","$495,000","$495,000","",""
"1659739805-2844","https://www.zillow.com/frisco-nc/for-sale/","52179 Cardinal St LOT 36, Frisco, NC 27936","https://www.zillow.com/homedetails/52179-Cardinal-St-LOT-36-Frisco-NC-27936/2062990699_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Sportsman Vill","5","null","null","52179 Cardinal St LOT 36, Frisco, NC 27936","$105,000","$105,000","",""
"1659739741-2827","https://www.zillow.com/frisco-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739888-2869","https://www.zillow.com/frisco-nc/for-sale/","50031 Utopia Ln, Buxton, NC 27936","https://www.zillow.com/homedetails/50031-Utopia-Ln-Buxton-NC-27936/228617136_zpid/","Built in 1987","10,500 sqft","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Attached, Off StreetGarage spaces: 1PropertyPool features: NoneExterior features: Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Salt Marsh, SoundWaterfront features: Semi-SoundfrontHas waterview: YesWaterview: Salt Marsh,SoundLotLot size: 10,500 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 012139000Zoning description: S-1","3","2","1,640","50031 Utopia Ln, Buxton, NC 27936","$429,000","$429,000","",""
"1659740022-2899","https://www.zillow.com/avon-nc/for-sale/","40198 Leslie Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40198-Leslie-Ln-Avon-NC-27915/228618958_zpid/","Built in 1984","10,000 sqft","Property detailsParkingParking features: No Garage, Off Street, UnpavedPropertyPool features: NoneExterior features: LightingPatio and porch details: Covered Decks, Sun DeckView description: SoundWaterfront features: NoneResidential vegetation: WoodedHas waterview: YesWaterview: SoundLotLot size: 10,000 sqftLot size dimensions: 10000 sq ftLot features: LevelOther property informationParcel number: 014627002Zoning description: C-2","3","2","1,152","40198 Leslie Ln, Avon, NC 27915","$539,000","$539,000","",""
"1659740138-2930","https://www.zillow.com/buxton-nc/for-sale/","47194 Rocky Rollinson Rd LOT 2, Buxton, NC 27920","https://www.zillow.com/homedetails/47194-Rocky-Rollinson-Rd-LOT-2-Buxton-NC-27920/2088310163_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: John Osler III Division","0","null","null","47194 Rocky Rollinson Rd LOT 2, Buxton, NC 27920","$179,500","$179,500","",""
"1659740129-2927","https://www.zillow.com/buxton-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739662-2807","https://www.zillow.com/rodanthe-nc/for-sale/","24255 Dean Ave LOT 20, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24255-Dean-Ave-LOT-20-Rodanthe-NC-27968/2099175284_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $227","0","null","null","24255 Dean Ave LOT 20, Rodanthe, NC 27968","$229,000","$229,000","",""
"1659739991-2890","https://www.zillow.com/avon-nc/for-sale/","41467 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41467-Ocean-View-Dr-Avon-NC-27915/228619204_zpid/","Built in 2002","0.34 Acres","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Attached, Off Street, PavedGarage spaces: 1PropertyPool features: Association Pool, AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Lake/River, Ocean, Park Serv/PreserveWaterfront features: Ocean Front, Beach Front, Beach Access, Boardwalk to BeachFrontage length: Waterfront: 75,Roadfront: 75Has waterview: YesWaterview: Lake/River,OceanLotLot size: 0.34 AcresLot size dimensions: 75 x 200Lot features: Adj to Park Serv./Preserv, LandscapedOther property informationParcel number: 014822038Zoning description: R1","7","7","3,914","41467 Ocean View Dr, Avon, NC 27915","$1,700,000","$1,700,000","",""
"1659739976-2885","https://www.zillow.com/avon-nc/for-sale/","41169 Keel Ct LOT 903, Avon, NC 27915","https://www.zillow.com/homedetails/41169-Keel-Ct-LOT-903-Avon-NC-27915/2062777768_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Kinnakeet Shores","0","null","null","41169 Keel Ct LOT 903, Avon, NC 27915","$85,000","$85,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739821-2849","https://www.zillow.com/frisco-nc/for-sale/","53051 Bowen Rd, Frisco, NC 27936","https://www.zillow.com/homedetails/53051-Bowen-Rd-Frisco-NC-27936/2066990417_zpid/","Built in 1993","$319 price/sqft","Property detailsPropertyPool features: NoneWaterfront features: Canal FrontLotLot size: 0.90 AcresLot size dimensions: 39000Lot features: LevelOther property informationZoning description: S 1","2","2","784","53051 Bowen Rd, Frisco, NC 27936","$250,000","$250,000","",""
"1659739659-2806","https://www.zillow.com/rodanthe-nc/for-sale/","0 Seabreeze Dr LOT 1-R, Rodanthe, NC 27968","https://www.zillow.com/homedetails/0-Seabreeze-Dr-LOT-1-R-Rodanthe-NC-27968/2062677342_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: RodantheSubdivision: Rodanthe Sands","0","null","null","0 Seabreeze Dr LOT 1-R, Rodanthe, NC 27968","$406,900","$406,900","",""
"1659739762-2831","https://www.zillow.com/frisco-nc/for-sale/","50636 Timber Trl LOT 40, Frisco, NC 27936","https://www.zillow.com/homedetails/50636-Timber-Trl-LOT-40-Frisco-NC-27936/2063058031_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Indiantown Shrs","1","null","null","50636 Timber Trl LOT 40, Frisco, NC 27936","$124,900","$124,900","",""
"1659740607-2994","https://www.zillow.com/hatteras-nc/for-sale/","57210 Summerplace Dr, Hatteras, NC 27943","https://www.zillow.com/homedetails/57210-Summerplace-Dr-Hatteras-NC-27943/86655278_zpid/","Built in 2001","0.63 Acres","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Heated, Private Pool, PrivateExterior features: Outdoor Shower, Dry EntryView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessFrontage length: Waterfront: 106Has waterview: YesWaterview: OceanLotLot size: 0.63 AcresLot features: Adj to Park Serv./Preserv, LevelOther property informationParcel number: 016066012Zoning description: C-2H","5","6","3,538","57210 Summerplace Dr, Hatteras, NC 27943","$1,895,000","$1,895,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739679-2813","https://www.zillow.com/rodanthe-nc/for-sale/","24253 Caribbean Way, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24253-Caribbean-Way-Rodanthe-NC-27968/2095268638_zpid/","Built in 2016","1.02 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Heated, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 1.02 AcresLot features: Cul-De-SacOther property informationZoning description: S-1","8","10","4,370","24253 Caribbean Way, Rodanthe, NC 27968","$2,475,000","$2,475,000","",""
"1659740518-2944","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2951","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2948","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2949","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740518-2952","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739799-2842","https://www.zillow.com/frisco-nc/for-sale/","0 Bowen Rd LOT 2, Frisco, NC 27936","https://www.zillow.com/homedetails/0-Bowen-Rd-LOT-2-Frisco-NC-27936/2077967244_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $423","0","null","null","0 Bowen Rd LOT 2, Frisco, NC 27936","$85,000","$85,000","",""
"1659739953-2878","https://www.zillow.com/avon-nc/for-sale/","42170 Askins Creek Dr LOT 45, Avon, NC 27915","https://www.zillow.com/homedetails/42170-Askins-Creek-Dr-LOT-45-Avon-NC-27915/2062632810_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek","0","null","null","42170 Askins Creek Dr LOT 45, Avon, NC 27915","$220,000","$220,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659740654-3009","https://www.zillow.com/hatteras-nc/for-sale/","56186 Lonesome Valley Rd, Hatteras, NC 27943","https://www.zillow.com/homedetails/56186-Lonesome-Valley-Rd-Hatteras-NC-27943/86654611_zpid/","Built in 2001","No data","Property detailsParkingParking features: No Garage, Off Street, Underground, UnpavedHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: NoneHas waterview: YesWaterview: Ocean,SoundLotLot features: LevelOther property informationParcel number: 015993001Zoning description: R2-H","4","3","2,100","56186 Lonesome Valley Rd, Hatteras, NC 27943","$749,000","$749,000","",""
"1659740087-2918","https://www.zillow.com/avon-nc/for-sale/","39199 Seashore Blvd, Avon, NC 27915","https://www.zillow.com/homedetails/39199-Seashore-Blvd-Avon-NC-27915/86652248_zpid/","Built in 2006","0.25 Acres","Property detailsParkingTotal spaces: 3Parking features: 3 + Car, Attached, PavedPropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Storage, DockPatio and porch details: Sun DeckFencing: FencedView description: Canal, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontHas waterview: YesWaterview: Canal,SoundLotLot size: 0.25 AcresLot features: Corner Lot, LevelOther property informationParcel number: 013838000Zoning description: Res","4","4","3,436","39199 Seashore Blvd, Avon, NC 27915","$625,000","$625,000","",""
"1659740045-2906","https://www.zillow.com/avon-nc/for-sale/","42083 Greenwood Pl, Avon, NC 27915","https://www.zillow.com/homedetails/42083-Greenwood-Pl-Avon-NC-27915/2063478359_zpid/","Built in 1984","0.33 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered DecksFencing: FencedView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.33 AcresLot features: LevelOther property informationZoning description: Res","5","5","2,340","42083 Greenwood Pl, Avon, NC 27915","$1,174,999","$1,174,999","",""
"1659740518-2955","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740176-2940","https://www.zillow.com/buxton-nc/for-sale/","46275 Old Lighthouse Rd, Buxton, NC 27920","https://www.zillow.com/homedetails/46275-Old-Lighthouse-Rd-Buxton-NC-27920/228627909_zpid/","Built in 2004","0.31 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered DecksView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.31 AcresLot features: LevelOther property informationParcel number: 023842000Zoning description: Res","4","3","1,766","46275 Old Lighthouse Rd, Buxton, NC 27920","$899,000","$899,000","",""
"1659740560-2979","https://www.zillow.com/hatteras-nc/for-sale/","0 Dunes Dr #22, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Dunes-Dr-22-Hatteras-NC-27943/2064558293_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Dunes","8","null","null","0 Dunes Dr #22, Hatteras, NC 27943","$175,000","$175,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740518-2968","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739917-2871","https://www.zillow.com/avon-nc/for-sale/","null","null","","","","null","null","null","null","null","","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659740518-2953","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739759-2830","https://www.zillow.com/frisco-nc/for-sale/","52245 Henry Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/52245-Henry-Dr-Frisco-NC-27936/228619588_zpid/","Built in 1999","$170 price/sqft","Property detailsParkingParking features: Detached, Off Street, UnpavedHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: LightingPatio and porch details: Patio, Sun DeckFencing: FencedView description: Pond, Salt MarshWaterfront features: Pondfront, WaterfrontResidential vegetation: WoodedHas waterview: YesWaterview: Pond,Salt MarshLotLot size: 1.50 AcresLot size dimensions: 65500Lot features: LevelOther property informationParcel number: 014987002Zoning description: Res","3","2","1,848","52245 Henry Dr, Frisco, NC 27936","$315,000","$315,000","Chevron Right","https://www.zillow.com/frisco-nc/2_p/"
"1659739814-2847","https://www.zillow.com/frisco-nc/for-sale/","50216 Buccaneer Dr LOT 3, Buxton, NC 27920","https://www.zillow.com/homedetails/50216-Buccaneer-Dr-LOT-3-Buxton-NC-27920/2066599553_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $348","1","null","null","50216 Buccaneer Dr LOT 3, Buxton, NC 27920","$74,500","$74,500","",""
